stock,1m_ohlcv,5m_ohlcv,15m_ohlcv,1h_ohlcv,daily_ohlcv,weekly_ohlcv,vwap,ema9,ema20,volume,opening_range,current_session_hilo,previous_session_levels,volatility_range,raw_quote,market_depth,option_chain
NESTLEIND,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
VEDL,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
ICICIPRULI,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
KALYANKJIL,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
KOTAKBANK,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
BANDHANBNK,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
BANKBARODA,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
TITAN,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
INFY,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
DLF,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
